doorToFirstFloorFromBasement,textures/world/sparse/door2.png,255,64,74,192,640,0,1,
garbage1,textures/world/sparse/garbagecan1.png,255,70,41,64,64,0,1,
garbage1,textures/world/sparse/garbageBag.png,255,38,67,135,70,0,1,
garbage1,textures/world/sparse/garbagecanFilled.png,255,78,68,104,75,0,1,
garbage1,textures/world/sparse/garbagecanFilled.png,255,78,68,64,100,0,1,
garbage1,textures/world/sparse/garbagecan2.png,255,78,68,95,120,0,1,Headphones
boxClosed,textures/world/sparse/cardboardBoxClosed.png,255,36,27,429,1029,0,1,
boxClosed,textures/world/sparse/cardboardBoxClosed.png,255,36,27,400,1034,0,1,
boxClosed,textures/world/sparse/cardboardBoxClosed.png,255,36,27,410,1060,0,1,
boxOpen,textures/world/sparse/cardboardBox.png,255,48,46,1600,1728,0,1,Key
boxClosed,textures/world/sparse/cardboardBoxClosed.png,255,36,27,695,1029,0,1,
boxClosed,textures/world/sparse/cardboardBoxClosed.png,255,36,27,666,1034,0,1,
boxClosed,textures/world/sparse/cardboardBoxClosed.png,255,36,27,676,1060,0,1,
boxClosed,textures/world/sparse/cardboardBoxClosed.png,255,36,27,753,1029,0,1,
boxClosed,textures/world/sparse/cardboardBoxClosed.png,255,36,27,726,1034,0,1,
boxClosed,textures/world/sparse/cardboardBoxClosed.png,255,36,27,717,1060,0,1,Diary Page 2
newspaper,textures/world/sparse/newspaper.png,255,39,27,135,1670,0,1,
newspaper,textures/world/sparse/newspaper.png,255,39,27,163,1655,0,1,
newspaper,textures/world/sparse/newspaper.png,255,39,27,166,1700,0,1,Diary Page
