27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,28,27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,28
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2
1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,0,7,0,7,0,0,0,2,1,0,0,0,0,0,0,0,0,38,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,36,0,7,0,0,0,2
1,0,35,5,5,5,5,37,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2
1,0,6,0,0,0,0,0,0,0,0,0,38,5,5,2,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,38,5,5,2
1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,29,30,0,0,0,0,0,0,0,0,38,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,36,0,0,0,0,0,29
1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0
1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,31,32,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,31
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2
25,4,4,4,4,4,4,4,32,0,31,4,4,4,4,26,25,4,4,4,4,4,4,4,4,4,32,0,31,4,4,4,4,4,4,4,4,32,0,31,4,4,4,4,4,4,4,26
24,24,24,24,24,24,24,24,1,0,2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,0,2,24,24,24,24,24,24,24,24,1,0,2,24,24,24,24,24,24,24,24
24,24,24,24,24,24,24,24,1,0,2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,0,2,24,24,24,24,24,24,24,24,1,0,2,24,24,24,24,24,24,24,24
24,24,24,24,24,24,24,24,1,0,2,24,24,24,24,24,24,27,3,3,3,3,3,3,28,24,1,0,29,3,3,3,3,3,3,3,28,1,0,2,24,24,24,24,24,24,24,24
3,3,3,3,3,3,3,3,30,0,29,3,3,3,3,3,3,30,0,0,0,0,0,0,2,24,1,0,0,0,0,0,0,0,0,7,2,1,0,2,24,24,24,24,24,24,24,24
0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,24,25,4,4,4,4,4,4,4,32,0,2,1,0,2,24,24,24,24,24,24,24,24
4,4,4,4,4,4,4,4,32,0,31,4,4,4,4,4,4,4,32,0,0,0,0,0,2,24,24,24,24,24,24,24,24,24,1,0,2,1,0,2,24,24,24,24,24,24,24,24
24,24,24,24,24,24,24,24,1,0,2,24,24,24,24,24,24,24,1,0,0,0,0,0,2,24,24,24,24,24,24,24,24,24,1,0,2,1,0,2,24,24,24,24,24,24,24,24
24,24,27,3,3,3,3,3,30,7,2,24,24,24,24,24,24,24,1,0,0,7,0,0,2,24,24,24,24,24,24,24,24,24,1,7,2,1,0,2,24,24,24,24,24,24,24,24
24,24,1,0,0,0,0,0,0,0,2,24,24,24,24,24,24,24,25,4,4,4,4,4,26,24,24,24,24,24,24,24,24,24,1,0,2,1,0,2,24,24,24,24,24,24,24,24
24,24,1,0,31,4,4,4,32,0,2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,0,2,1,0,2,24,24,24,24,24,24,24,24
24,24,1,0,2,24,24,24,1,0,2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,0,2,1,0,2,24,24,24,24,24,24,24,24
27,3,30,0,29,3,3,3,30,0,29,3,3,3,3,28,27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,28,24,24,1,0,2,1,0,29,3,3,3,3,3,3,3,28
1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,24,1,0,2,1,0,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,24,1,0,2,1,0,0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,7,0,0,0,0,0,0,7,0,0,0,0,2,24,24,1,0,2,25,4,4,4,4,4,4,4,4,4,26
1,0,0,0,7,0,6,0,0,0,0,0,0,7,0,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,3,30,0,29,3,3,3,3,3,3,28,24,24,24,24
1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13,13,13,13,13,13,13,13,13,13,2,24,24,24,24
1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,31,32,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1,13,13,13,13,13,13,13,13,13,13,2,24,24,24,24
1,0,0,7,0,0,6,0,0,7,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7,7,0,0,0,2,1,13,13,13,13,13,13,13,13,13,13,2,24,24,24,24
1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13,13,13,13,13,13,13,13,13,13,2,24,24,24,24
1,0,0,0,0,0,6,7,0,0,0,0,0,0,0,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13,13,13,13,13,13,13,13,13,13,2,24,24,24,24
25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,26,25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,26,25,4,4,4,4,4,4,4,4,4,4,26,24,24,24,24
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,,,,,
