tombstone,textures/world/sparse/tombstone.png,255,87,36,524,884,0,1,
tombstone,textures/world/sparse/tombstone2.png,255,87,36,460,1012,0,1,
tombstone,textures/world/sparse/tombstone3.png,255,87,36,628,1012,0,1,
doorToFirstFloorFromGarden,textures/world/sparse/door2.png,255,64,74,256,1344,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1164,116,0,1,
tombstone,textures/world/sparse/tombstone3.png,255,87,36,1356,116,0,1,
tombstone,textures/world/sparse/tombstone2.png,255,87,36,1484,116,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1676,116,0,1,
tombstone,textures/world/sparse/tombstone3.png,255,87,36,1228,308,0,1,
tombstone,textures/world/sparse/tombstone2.png,255,87,36,1356,308,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1484,308,0,1,
tombstone,textures/world/sparse/tombstone3.png,255,87,36,1676,308,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1356,500,0,1,
tombstone,textures/world/sparse/tombstone2.png,255,87,36,1484,500,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1804,436,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1164,756,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1420,756,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1292,820,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1548,820,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1804,820,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1676,884,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1292,948,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1548,948,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1804,948,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1420,1012,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1164,1140,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1676,1140,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1292,1204,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1548,1204,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1804,1204,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1868,1204,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1932,1204,0,1,
tombstone,textures/world/sparse/tombstone.png,255,87,36,1164,1268,0,1,
bedroomDesk,textures/world/sparse/desk.png,255,57,76,1536,2408,0,1,Diary Page 2
bedroomDesk,textures/world/sparse/desk.png,255,57,76,1536,2488,0,1,
